2OP811;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71103;aktualni=1;poc_obdobi=1230";;;
2OP816;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=122664;aktualni=1;poc_obdobi=1230";;;
2OP834;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71106;aktualni=1;poc_obdobi=1230";;;
2OP813;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=62495;aktualni=1;poc_obdobi=1230";;;
2OP833;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70956;aktualni=1;poc_obdobi=1230";;;
2OP853;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70975;aktualni=1;poc_obdobi=1230";;;
2OP863;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70977;aktualni=1;poc_obdobi=1230";;;
2OP823;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71102;aktualni=1;poc_obdobi=1230";;;
2OP841;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70948;aktualni=1;poc_obdobi=1230";;;
2OP831;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70945;aktualni=1;poc_obdobi=1230";;;
2OP827;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=122881;aktualni=1;poc_obdobi=1230";;;
2OP857;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70976;aktualni=1;poc_obdobi=1230";;;
2OP822;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71100;aktualni=1;poc_obdobi=1230";;;
2OP842;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70947;aktualni=1;poc_obdobi=1230";;;
2OP862;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70979;aktualni=1;poc_obdobi=1230";;;
2OP832;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70949;aktualni=1;poc_obdobi=1230";;;
2OP844;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70950;aktualni=1;poc_obdobi=1230";;;
2OP821;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71101;aktualni=1;poc_obdobi=1230";;;
2OP851;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71107;aktualni=1;poc_obdobi=1230";;;
2OP843;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70953;aktualni=1;poc_obdobi=1230";;;
2OP815;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=71105;aktualni=1;poc_obdobi=1230";;;
2OP835;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=70952;aktualni=1;poc_obdobi=1230";;;
2OP852;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=87851;aktualni=1;poc_obdobi=1230";;;
2OP812;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=62494;aktualni=1;poc_obdobi=1230";;;
3BE226;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98291;aktualni=1;poc_obdobi=1271";;;
3BE122;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=110232;aktualni=1;poc_obdobi=1271";;;
3BE114;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98531;aktualni=1;poc_obdobi=1271";;;
3BE315;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98297;aktualni=1;poc_obdobi=1271";;;
3BE113;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98273;aktualni=1;poc_obdobi=1271";;;
3BE116;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98275;aktualni=1;poc_obdobi=1271";;;
3BE225;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98289;aktualni=1;poc_obdobi=1271";;;
3BE324;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98303;aktualni=1;poc_obdobi=1271";;;
3BE322;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98299;aktualni=1;poc_obdobi=1271";;;
3BE316;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=99842;aktualni=1;poc_obdobi=1271";;;
3BE223;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98287;aktualni=1;poc_obdobi=1271";;;
3BE112;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=105597;aktualni=1;poc_obdobi=1271";;;
3BE123;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98277;aktualni=1;poc_obdobi=1271";;;
3BE323;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98301;aktualni=1;poc_obdobi=1271";;;
3PS124;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=162341;aktualni=1;poc_obdobi=1271";;;
3BE214;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98283;aktualni=1;poc_obdobi=1271";;;
3BE216;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98285;aktualni=1;poc_obdobi=1271";;;
3BE312;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98293;aktualni=1;poc_obdobi=1271";;;
4ST601;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=91713;aktualni=1;poc_obdobi=1271";;;
3SG205;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=113342;aktualni=1;poc_obdobi=1271";;;
2PR152;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=188320;aktualni=1;poc_obdobi=1271";;;
3BE314;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=98295;aktualni=1;poc_obdobi=1271";;;
3PO633;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=142093;aktualni=1;poc_obdobi=1271";;;
4IT534;"https://insis-test.vse.cz/katalog/syllabus.pl?predmet=188371;aktualni=1;poc_obdobi=1265";;;
