course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
"Accounting, Business and Society",ACCT1010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Overview of accounting in business and social contexts; use of accounting information for accountability and decision-making in companies, non-profit organizations, and government; major elements of accounting, including assets, liabilities, revenues and expenses; discharge of accountability by companies through corporate social and environmental reports. The aim of this course is to make students aware of how accounting could be applicable to fundamental business transactions and ways to evaluate how businesses are operated.",,"1. List the broad framework of ethics, corporate governance, and corporate social responsibility, while demonstrating the knowledge and respect of ethics and ethical standards in accounting in particular 2. Explain the roles of accounting in business and social contexts; and their bearings on corporate social and environmental accounting 3. Identify the different users of accounting information and their information needs; and the approaches to use the information in financial statements according to their needs 4. Identify and describe broad aspects of appropriate accounting treatments for different transactions of different organisations, and how such may address stakeholders’ information needs 5. Read, interpret, and analyze financial statements, including the balance sheet, the income statement, and the cash flow statements",,
Laws in Society and Business,ACCT1610,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course provides an introduction to law and business society. Topics include general introduction to the concepts in law; an introduction to the Hong Kong legal system under the principle of ""one country, two systems""; copyright law; trademark law; agency law; insolvency law; employment law and business ethics. As Hong Kong is a well-developed business society, this course is intended to build students' understanding of the relationship between the law and the society and discuss laws in society and business.",,"1. To build students’ understanding of the relationship between the law and the society 2. To enhance selected skills like analytical and critical thinking, effective communication and team work 3. To discuss the importance of ethical responsibility and apply the ethical standard to resolve the dilemmas 4. To analyze the law of agency and attain a balance between the principal and the agent 5. To analyze the law of copyright and attain a balance between the copyright owner and the user 6. To analyze the law of trademarks and attain a balance between the trademark owner and the general public 7. To analyze the law of insolvency and attain a balance of interests among different stakeholders",,
Principles of Accounting I,ACCT2010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"For SB&M students, and programs that designate the course as a required/specified elective course. This is the first course of the principles of accounting sequence. Introduction to the concepts and principles of financial accounting, including the analysis, recording, and reporting of business transactions and preparation of financial statements.",,"1. Understanding Basic Accounting Concepts. 2. Transaction Analysis: Apply conceptual knowledge to business transactions and translate them into financial statements. 3. Financial Statements Preparation: Learn to prepare and understand the four major financial statements: Balance Sheet, Income Statement, Statement of Cash Flows, and Statement of Stockholder’s Equity. 4. Financial Statement Analysis: Demonstrate the skills to read, analyze, and interpret financial statements and key financial ratios. 5. Understanding Ethical Principles: Recognize the importance of ethics in accounting and the impact of ethical (unethical) behaviors on financial reporting and business practices.",,
Principles of Accounting II,ACCT2200,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"For SB&M students, and programs that designate the course as a required/specified elective course. This is the second course of the principles of accounting sequence. It introduces concepts, accounting methods, and analytical tools related to managerial and cost accounting. Topics include fundamental cost concepts, job-order and process costing systems, CVP analysis, budgets and standards, segment reporting, and decision-making using cost information.",,"1. Define and classify cost accounting concepts used by managers. 2. Apply and analyze various costing methods to calculate and interpret costs used by manufacturing organizations. 3. Analyze different types of cost behaviors and evaluate the relationships between cost, volume, and profit. 4. Apply management accounting principles to analyze and interpret relevant information for effective decision-making. 5. Understand the benefits of budgeting and prepare the master budget. 6. Understand how standard costs are determined and variances are investigated. 7. Understand how management accounting utilizes financial accounting information for the measurement of the performance of individuals and business segments. 8. Understand and apply various capital budgeting tools.",,
Financial Accounting I,ACCT3010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Study of the application of generally accepted accounting principles to accounting for business organizations; evaluation of balance sheet accounts and the related effects on income determination.,,"1. Think critically and creatively and make effective decisions supported by analytical and quantitative techniques. 2. Demonstrate an ability to understand in-depth grasp of financial accounting frameworks. 3. Demonstrate sophisticated user of financial accounting information by interpreting financial strategies, assess financial risk and understand financial accounting choices made by managers. 4. Demonstrate an understanding of the international dimensions of accounting. 5. Understand the role played by accountants in providing and ensuring the integrity of financial and related information. 6. Demonstrate an understanding of the accounting environment in Hong Kong. 7. Demonstrate an understanding of ethical challenges, creative accounting, and earnings management issues, and develop ethical and social responsibility.",,
Financial Accounting II,ACCT3020,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Continuation of ACCT 3010. Special problems in accounting for owner's equity and long-term liabilities including corporate bonds, leases, deferred taxation and pensions.",,"1. Demonstrate an ability to understand in-depth grasp of financial accounting frameworks. 2. Demonstrate an effective user of financial accounting information by interpreting financial strategies, assess financial risk and understand financial accounting choices made by managers. 3. Understand the role played by accountants in providing and ensuring the integrity of financial and related information. 4. Demonstrate an understanding of the international dimensions of accounting. 5. Demonstrate an understanding of the accounting environment in Hong Kong.",,
Intermediate Financial Accounting for Non-Accounting Majors,ACCT3030,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Financial accounting concepts and practices with particular emphasis on the analysis and interpretation of financial reports and data.,,"1. Think critically and creatively in making effective decisions supported by analytical and quantitative techniques. 2. Explain the interdependence and distinctive elements of accounting, finance and economics, and integrate them to solve business problems. 3. Apply financial accounting frameworks to business situations. 4. Demonstrate an understanding of the international dimensions of accounting. Identify the activities/issues in accounting that may present ethical challenges, and articulate the consequences associated with unethical behavior.",,
Advanced Management Accounting,ACCT3210,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course covers advanced quantitative methods for management decision-making (decision trees, linear regression, learning curves, and linear programming), pricing and transfer pricing decisions, allocation of common and joint costs, variance analysis, performance measurement and incentive compensation.",,1. Analyze and evaluate a variety of business problems to develop effective and innovative solutions. 2. Develop leadership skills by solving operational and strategic planning problems. 3. Demonstrate communication skills through class participation and case discussions.,,
Business Law,ACCT3610,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course is to provide students with an awareness of the overall legal framework in which businesses in Hong Kong operate so as to enable them to apply the relevant laws and practices to business problems and practical solutions. The main objective is to give students an understanding of how the society and business function in different socio-legal contexts like the legal system and process and its influence on citizens’ social rights and duties; the enforcement and honoring of agreement between private citizens, the use of business organizations in commercial society, the relationship between employee and employer from social and legal perspectives, the growing importance of business ethics and corporate social responsibilities etc.",,1. Analyze the principal concepts of the contract law. 2. Analyze the principal concepts of the law of tort and negligence. 3. Analyze the principal concepts of the consumer laws. 4. Analyze the principal aspects of regulations that govern the different business organizations. 5. Analyze the principal concepts of the employment laws. 6. Understand the principal concepts of the data protection laws.,,
"ESG Measurement, Disclosure and Applications",ACCT3630,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Environment, Society and Governance (ESG) are three pillars in the emerging system of sustainable finance. This course is designed for students interested in the concept of ESG, especially for those who aspire to learn about the measurement and disclosure of ESG and their applications in the management of business and investment. The course covers topics such as the history and regulations of sustainable finance, the concept and measurement of ESG risks, the disclosure framework and ratings of ESG, the ESG-related investing approaches and financial products. It also covers how management can integrate climate-related risks into business strategies and capture low-carbon opportunities. For all UG students in Year 3 or above.",,1. Understand the concepts of ESG and sustainable finance. 2. Understand the measurement of ESG factors and analyze their disclosures. 3. Understand the processes and limitations of ESG ratings. 4. Understand the concept of climate risks and analyze their disclosures. 5. Understand how to consider ESG in investing. 6. Understand how to integrate climate-related risks into business strategy and capture low-carbon opportunities.,,
Professional Excellence Program,ACCT3880,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,1.0,HKUST credits,2.0,Introductory-level seminars and workshops on the accounting/auditing professions; development of life-skills including writing and other communication skills; and individual thinking skills; ethics for accountants. For SB&M students only. Graded P or F.,,"1. Identify and analyze key issues in the contemporary business environment, including those affecting the accounting and finance profession. 2. Explain how professional accountants would add values in business transactions. 3. Explain the role played by professional accountants in providing and ensuring the integrity of financial and related information. 4. Appreciate the multi-disciplinary approach to solve business problems. 5. Demonstrate how safeguards could be used to deal with ethical threats. 6. Demonstrate a sound understanding of contemporary business issues by conducting research on selected topics and presenting original ideas in a logical and creative manner.",,
Advanced Financial Accounting,ACCT4010,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Addresses accounting issues associated with (1) intercorporate investment activity that conveys significant influence or control and (2) cross-border activities. The core topics addressed are business combinations, consolidated financial statements, associated companies, and foreign currency issues.",,"1. Develop a comprehensive and well-founded knowledge of advanced financial accounting. 2. Apply critical and creative thinking to make effective decisions, supported by appropriate analytical and quantitative techniques. 3. Apply financial accounting frameworks to analyze corporate performance and business situations. 4. Demonstrate an understanding of the international dimensions of accounting. 5. Understand ethical and social responsibilities in local and global context.",,
Taxation,ACCT4410,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"The Hong Kong taxation system and its administration; taxation of individuals, partnerships and corporations; stamp duty; obligations compliance.",,"1. Describe the law and practice of Hong Kong tax, including source of tax law; Inland Revenue practices including those dealing with basic principles and practices relating to cross-border transactions between Hong Kong and the Mainland China. 2. Describe and explain the law, principles and practices of Hong Kong property tax, salaries tax and profit tax, depreciation allowance, personal assessment, tax management, stamp duty and tax administration. 3. Apply the tax principles to practical business situations and identify issues in income taxes and stamp duty planning. 4. Explain the law and practice of offence and penalty. 5. Describe the basic principles and ethical requirements of tax practice. 6. Demonstarte an ability to communicate effectively in verbal, written and electronic formats.",,
Auditing,ACCT4510,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Objectives, standards and procedures of auditing; preparation of working papers; applications of statistical sampling; computer-assisted auditing and auditing of electronic data processing (EDP) services; professional liability and ethics.",,"1. Understand the regulatory and professional framework of the auditing profession. 2. Apply auditing theories, standards, and procedures to the practice of auditing, including designing and implementing methodologies for examining, verifying, evaluating and reporting on the financial statements of organizations. 3. Identify an ethical dilemma in a scenario case of auditing, articulate the consequences associated with unethical behavior, and apply professional ethical standards to propose and defend a resolution. 4. Demonstrate critical judgment by analyzing core issues and key assumptions in auditing scenarios, and evaluate problems from multiple perspectives.",,
Company Law,ACCT4610,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.,,"1. Explain and apply the process of forming an incorporated body. 2. Analyse how companies make decisions and manage their activities, and apply the rules and requirements to practical business situations. 3. Analyse the essential elements of agency relationship, including the role of an agent, how an agency is created, the different types of authority of an agent, and the rights, duties and liabilities of an agent and a principal. 4. Analyse the legal implications of issuing share capital and loan capital. 5. Explain and apply the important rules and requirements applicable to public companies in relation to fund-raising, prospectus contents and liabilities, and continuing obligations of listed companies. 6. Explain and apply the schemes of arrangement, reconstruction, and the take-over provisions of the Companies Ordinance. 7. Analyse and apply the rules and requirements regarding company liquidation and winding up. 8. Describe the key roles of external regulatory bodies, including the Hong Kong Monetary Authority, the Securities and Futures Commission, the Hong Kong Stock Exchange, the Financial Reporting Council and the Insurance Authority.",,
Accounting Analytics for Professional Accountants,ACCT4710,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Data analytics is reshaping the work of accountants. Applications of data analytics in accounting including: Auditing/Assurance - data analytics techniques used by accounting professionals and auditors nowadays to detect fraud and conduct forensic accounting. Enhancing Financial Reporting: more sophisticated data analytics tools can allow companies to link diverse financial and non-financial datasets and provide more comprehensive and rigorous financial reports to stakeholders. Managing risks: data analytics techniques such as continuous auditing and continuous monitoring can help accounting professionals assess and manage relevant risk levels within their organization. This course aims to provide students with knowledge of the nature and role of data analytics and enable students to apply and understand data analytics technologies to perform audit, enhance financial reporting, and minimize risks as accounting professionals.",,"1. Identify and incorporate useful sources of financial and non-financial data that help accountants' decision-making. 2. Apply and demonstrate knowledge of the nature and role of accounting data analytics and understand how important it is to accounting professionals. 3. Use and evaluate analytics techniques to interpret accounting data, analyze business process, and develop solutions for issues in accounting processes. 4. Utilize data analytics application(s) to perform and develop skills in accounting audit, fraud detection and business analysis. 5. Diagnose accounting problems and issues by using accounting data analytics to make responsible and ethical decisions.",,
Equity Investment with Machine Learning,ACCT4720,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course is designed for students interesting in the investment management business, especially for those who aspire to learn the application of quantitative and machine learning technology in equity investing. The course will cover a wide range of topics in equity investing, including quantitative investment process, multi-factor stock-selection models, portfolio construction methods, performance evaluation, and an introduction of applications of AI/machine learning technology in equity investing. This is a very hands-on course. Students will be required to conduct quantitative and machine learning analyses using Python. Prior knowledge in capital markets and python programing is required. For students in their third year of study and above.",,"1. Understand the philosophy, theory, and process of quantitative equity investing. 2. Understand the role of financial statement information in equity investing. 3. Understand the potential application of machine learning technology in equity investment. 4. Develop investment strategies using accounting and other financial information. 5. Conduct backtests on quantitative strategies and evaluate their performance. 6. Articulate the logic of investment strategies and backtest results clearly.",,
"Cryptocurrency, blockchain and their business applications",ACCT4801,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course introduces cryptocurrencies (including Bitcoin, Ethereum, and others), blockchain, also known as distributed ledger technology (DLT), and their multidimensional business applications. Student will be equipped with fundamental skills to comprehend cryptocurrencies and blockchain/DLT, and be provided with insights into the latest development in the field. For ACCT students in their third year of study or above only. Other students in their third year of study or above may seek instructor’s approval for enrollment in the course.",,"1. Understand the technical details and consensus mechanisms of cryptocurrencies. 2. Familiar with real-world applications of blockchain technology. 3. Understand smart contract and its implications for accounting, finance and economics. 4. Know the history of blockchain technology and its recent development including regulations.",,
Valuation and Risk Management in Mergers and Acquisitions,ACCT4802,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course is designed to enhance student ability in reading, understanding and analyzing complicated financial statements that involve mergers and acquisitions (M&A) based on a number of case studies, and to benefit any student who desires to increase his or her ability to profitably exploit financial information that involves complex financial scenarios, such as M&A. In addition, students are expected to integrate accounting with insights from financial economics to understand and analyze economic incentives and risk factors of M&A, therefore converting accounting data into decision making information and express strategic business plans and investment ideas in a powerful and convincing way. For ACCT students in their third year of study or above only.",,"1. Understand latest financial reporting rules for M&A deals. 2. Understand how synergies impact value creation. 3. Understand operational, financial and governance risks involved in M&A deals and responding risk management strategies. 4. Effectively analyze complicated financial statements to assess synergy, value growth, and risks of M&A.",,
Artificial Intelligence for Accounting Practice and Analysis,ACCT4803,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course will put the current uses of artificial intelligence (AI) in the context of its development at the nexus of cognitive science, computer science, cybernetics (the study of complex systems), and statistics. Within this framework, the course will explore modern applications of AI, large language models (LLMs), and agentic systems to Accounting Practice and analysis. Particular emphasis will be placed on their usage in current business applications and their potential to shape the future of work for Accounting graduates. The course will also introduce basic skills for implementing and automating LLM-based analysis tasks. For ACCT students in their third year of study or above only.",,"1. Understand AI as an interdisciplinary field, its history and future. 2. Understand the technical details of current AI tools. 3. Gain experience implementing and evaluating the strengths and weaknesses of current tools. 4. Explore current applications of AI to real business problems.",,
Independent Study,ACCT4980,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ACCT,2025-26,,,undergraduate,1.0,HKUST credits,2.0,Directed study of selected problems in accounting not covered in other courses. Graded letter grade or P/F subject to different offerings.,,1. Demonstrate an in-depth and substantial knowledge on the topic chosen for the independent study. 2. Develop and demonstrate critical thinking skills. 3. Integrate knowledge from a range of fields to effectively communicate key issues from the chosen area of study.,,
Thinking like an Economist I: Microeconomics,ECON1220,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Students learn the ""economic way of thinking"" in this course. We will explore fundamental microeconomic concepts and tools such as comparative advantage and specialization, demand-supply analysis, market equilibrium, government's role in markets, game theory, and people's interactions in order to explain and analyze consumer and producer decisions and social issues. Students will develop problem-solving abilities in dealing with new social issues as well as develop their sense of community and consideration through the lens of microeconomics.",,1. Analyze the decision-making process of people in the context of microeconomics 2. Analyze the behavior of consumers and producers by the Demand-Supply framework 3. Evaluate what can and cannot be achieved by the market mechanism in different market structures 4. Evaluate the impacts of government policies on people and marke 5. Apply the economic way of thinking to other social issues,,
Thinking like an Economist II: Macroeconomics,ECON1221,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"Students learn the ""economic way of thinking"" in this course. We will introduce the ways economists look at economy from an “aggregate” perspective. The course starts by introducing key macro variables that measure aggregate economic performance. The relationship among these key variables will then be studied in the goods, money, and labor markets in closed and open economies. The theoretical framework presented in this course will enable non-SBM students to predict and analyze the impacts of government fiscal and monetary policies on the economy.",,1. Identify key macroeconomic variables and understand their relationships 2. Gather and organize relevant macroeconomic information for a given context 3. Apply tools learnt in class to analyze historical and current macroeconomic events 4. Explain the operation of open economy and exchange rate related topics 5. Discuss the consequences of a macroeconomic or policy shock,,
What Economics Tells Us About Our Life and Social Policy,ECON1222,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course will provide students opportunities to critically read and interpret social science literature on human capital development over the life cycle. It will also give students an opportunity to discuss, through examples, how this evidence could be applied in the real world policy design. The questions to be addressed in this course focus on human capital development such as health, education, and labor policies over the course of one’s life. The examples will help students understand how to interpret available data and use it to evaluate different policy programs.",,"1. Analyze findings and perspectives on social issues of human capital development (health, education and labour) around the world 2. Apply economic research findings to propose suitable policy to tackle real world problems (eg. importance of early childhood environments and investments, education inputs, job protection program, and long-term care provision) 3. Efficiently communicate to a large audience by presenting proposals on public policy and justifying (ie presentation, discussion, evaluation and defending) the statistical evidence underlying the proposals",,
China's Economic Challenges,ECON1234,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course critically assesses the current challenges facing the Chinese economy and how China’s approaches to these challenges will shape future opportunities for citizens in China and around the world. The course will examine different dimensions of China’s reform experience to deepen understanding of the origins of current challenges and address recent debates about China’s economic emergence. Topics include the sources of economic growth (innovation capability, high-tech competition, digital economy), globalization (COVID-19 and trade war impact, shifting supply chains, foreign direct investment, the Belt and Road Initiative), labor (labor regulation, future of work, education and health), environment and climate change (carbon neutrality pledge), social development (poverty, inequality, family planning, population ageing), and economic development in Hong Kong and the Greater Bay Area.",,1. Analyze the impacts of previous institutional reforms and how they led to current economic challenges 2. Critically assess the nature and complexity of current economic challenges 3. Use economic principles to propose well-reasoned solutions to real-world economic problems 4. Work effectively in teams to solve economic problems and make effective presentations,,
Principles of Microeconomics,ECON2103,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Theory of firm in a free enterprise system; theory of consumer demand; market structures and resource allocation; efficiency of competitive markets; selected topics on government regulation. Students with non-local qualifications should seek department’s or school’s approval for enrollment in the course.,,"1. Acquire a fundamental understanding of the operation of market economy and being able to apply it: including the market price determination, the efficiency and the fairness (strength and weakness) of market system, the conditions under which the markets can perform well, and how the market (price and quantity transacted) will change in responding to changing environment 2. Understand the framework to address the role of government and able to apply it: when and in which direction the government should intervene the markets 3. Understand firms` optimal decision making under different market structure, consumers` optimal decision-making and able to apply it",,
Microeconomics,ECON2113,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Theory of the firm in a free enterprise system; theory of consumer demand; market structures and resource allocation; selected topics on government regulation. More topics treated in greater depth than ECON 2103. Students with non-local qualifications should seek department’s or school’s approval for enrollment in the course.,,"1. Examine and discuss the concepts, methodologies, and analytical frameworks of microeconomic analysis in detail. 2. Analyze the decision-making processes of consumers and firms, and apply economic principles to determine optimal strategies. 3. Analyse and apply theories on markets, including market price determination, the efficiency and fairness of the market system, the conditions under which markets can perform well, and how the market will change in responding to a changing environment. 4. Evaluate the framework for government intervention in markets, apply it to determine when and how the government should intervene, and assess the impact of relevant policies on market outcomes.",,
Macroeconomics,ECON2123,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,Theory of national income determination and business fluctuation; monetary and fiscal policies; selected topics in macroeconomic policies and open economy macroeconomics. Students with non-local qualifications should seek department’s or school’s approval for enrollment in the course.,,"1. Obtain a general knowledge of macroeconomics and a unified analytical framework to address macroeconomic issues 2. Apply the macroeconomic concepts, principles, and models to understand and explain economic phenomena 3. Use macroeconomics model to analyze the effects of monetary and fiscal policies 4. Apply the knowledge to practical situations and make sound economic decisions, and adapt to changes in business and social environments",,
Mathematics for Economists,ECON2174,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,4.0,HKUST credits,8.0,"Exclusively for SB&M students. This course provides students with mathematical tools frequently used in economic analysis. Topics include real numbers, single and multivariable functions, matrix algebra, multivariate calculus, convex analysis, and constrained and unconstrained optimization. Examples of economic analysis using these mathematical tools will be included.",,"1. Construct, interpret, and critically analyze mathematical models to represent and solve economic problems. 2. Formulate coherent and easy-to-follow solutions or proofs for mathematical problems in economics.",,
Managerial Microeconomics,ECON3014,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,4.0,HKUST credits,8.0,"Demand estimation, business and economic forecasting; production, innovation and cost; market structure, strategic behavior and pricing; decision making under uncertainty; government regulation of business activities; case studies.",,"1. Develop an understanding of microeconomic theories and tools, including some advanced topics such as firm internal organization and price discrimination. 2. Apply microeconomic theories and related tools to explain real-world problems, such as a firm’s output decision and pricing decision. 3. Understanding the interaction between market and government and to achieve better understanding in public policy analysis. 4. Demonstrate situational awareness and apply acquired knowledge to respond effectively in real-world contexts.",,
Managerial Macroeconomics,ECON3024,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,4.0,HKUST credits,8.0,"This course modifies and extends the standard models studied in introductory macroeconomics course (2123), highlighting the role of expectations in determining the aggregate output, the inflation, and the asset prices. The course consists of two parts: (A) lectures on the models and their applications on the economics issues such as monetary and fiscal policies, financial crises, and exchange rate policies; and (B) group research projects undertaken by the students to apply macro models, statistical and econometrics tools to analyze a real-world question of their pick, in order to gain better understanding of the models and to practice the skills on problem solving, team-work and presentation. For BBA ECON and Minor in Business Students only.",,"1. Analyze qualitatively and quantitatively macroeconomic problems. 2. Identify, collect, and systematically organize relevant macroeconomic data for analysis within a given context. 3. Evaluate effects of macro shocks and policy changes on firms and industries. 4. Demonstarte an ability to communicate effectively in oral and written English. 5. Engage in debates and discussions in a constructive way. 6. Work collaboratively with team members on research projects.",,
Microeconomic Theory I,ECON3113,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,4.0,HKUST credits,8.0,"The course presents a detailed study of basic topics in microeconomics with a special emphasis on using a rigorous analytical and mathematical approach. The topics include demand theory, uncertainty, asymmetric information, general equilibrium, welfare economics, externality, and public good. Multivariate calculus will be extensively used. Exclusively for students of the BSc programs in Economics & Finance and in Mathematics & Economics.",,"1. Demonstarte critical and creative thinking skills to assess economic and social issues using logical and scientific reasoning. 2. Apply economic principles to practical situations, decision-making, and research on economic and societal matters. 3. Demonstrate effective communication, leadership, and decision-making abilities in economic and business contexts. 4. Understand cultural diversity, ethical considerations, and the societal impact of economic and business decisions. 5. Gain a well-rounded understanding of economics and business functions, with specialization in a chosen field. 6. Demonstrate sustained engagement with economic analysis by applying concepts to real-world issues and evaluating their relevance and impact.",,
Macroeconomic Theory I,ECON3123,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,3.0,HKUST credits,6.0,"This course will concentrate on introducing the basics terms of macroeconomics, business cycle analysis, money and inflation, current accounts, and exchange rates. Exclusively for students of the BSc in Economics and Finance and Mathematics and Economics program.",,"1. Identify important macroeconomic variables and understand their relationships. 2. Identify, collect, and systematically organize relevant macroeconomic data for analysis within a given context. 3. Apply tools learned in class to analyze some historical and current macroeconomic events. 4. Discuss the consequences of a macroeconomic shock or a policy intervention. 5. Explain key macroeconomic concepts and reflect on their relevance to contemporary issues, demonstrating motivation for continued study in the field.",,
Microeconomic Theory II,ECON3133,The Hong Kong University of Science and Technology,Hong Kong,https://prog-crs.hkust.edu.hk/ugcourse/2025-26/ECON,2025-26,,,undergraduate,4.0,HKUST credits,8.0,"This is the second course in the microeconomics sequence. Topics include production theory, firms' behavior under different market structures (perfect competition, monopoly, oligopoly), factor demand, and game theory. Emphases are placed on a rigorous analytical and mathematical approach, and multivariate calculus will be used extensively.",,"1. Understand the logic, scientific basis, and critical thinking of economic analysis. 2. Demonstrate advanced knowledge of economic principles, apply them to interpret economic and social phenomena, and evaluate options to make informed economic decisions. 3. Demonstarte an ability to qualitatively analyze basic economic and social problems. Conduct basic economic analysis and research of the economy and society. 4. Collaborate effectively with your team members to answer questions in homework. 5. Evaluate ethical dilemmas using rigorous economic and social analysis. 6. Be a lifelong user of economic analysis.",,
