course_title,course_code,university,country,source_url,academic_year,semester,semester_normalized,study_level,credits,credit_system,ects_credits,aims,course_content,learning_outcomes,assessment_methods,literature
International Marketing,MKTG309,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG309&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,This course introduces students to core topics in international marketing. The course is fundamental to almost all career paths for students in the marketing field with firms that have an international dimension to their marketing strategies. The course is also complementary to the other offerings in International Business.,,"The outcomes of the course are: 1. Acquire an understanding of how international marketing differs from domestic marketing. 2. Acquire an understanding of the economic, cultural, social, political, and legal environments of different countries and political/economic regions and an awareness of how they affect marketing. 3. Identify and analyse the influence and impacts of the international marketing environment on strategic and tactical decision-making. 4. Understand the methods for determining which overseas markets to target with respect to internationalisation strategies and different modes of market entry. 5. Identify and evaluate opportunities for international market development in order to maximise competitive advantage. 6. Research and design a market entry strategy for a selected international market opportunity as part of the preparation of an international marketing programme.",Group Assignment (35%) Individual Class Test (35%) Individual Assignment (30%),"Textbooks / Resources Required Texts Cateora, P. R., Money, R. B., Gilly, M. C., & Graham, J. L; International marketing ; 19th ed; McGraw Hill LLC, 2024."
Customer Experience,MKTG310,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG310&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"Historically, business approaches have been almost exclusively focused on the marketing mix itself, especially for product-related exchanges. As a result, the customer at the centre of the framework became an almost forgotten concern for many marketers. The course ""Customer Experience"" focuses on the design and marketing of emotionally stimulating, value-creating customer experiences. Students will strategically evaluate and critique current traditional marketing and management strategies in terms of their customer focus. The class format involves a mix of class lectures and in-class workshops, case analyses and presentations, best practice discussions, and individual assignments. Students will enhance their learning through group work and in-class presentations as well as individual research projects. The sessions are interactive, stimulating student thinking and critical review.",,,,
Tourism Marketing and Management,MKTG314,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG314&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"An integrated course that examines contemporary strategies and issues in tourism marketing and management for destinations, firms, national and regional tourism organisations.",,"The outcomes of the course are: 1. Appreciate the significance of concepts of tourism and temporary mobility for understanding contemporary tourism phenomena in New Zealand and internationally. 2. Understand tourism development processes and their externalities in different environmental contexts. 3. Understand the role that marketing can potentially play in managing the multiple dimensions of the tourism product. 4. Critically evaluate destination, tourism business and attraction marketing strategies from the perspective of sustainability. 5. Have improved independent research, critical analysis, and written communication skills.",Class Test (35%) Individual Assignment (30%) Group Project (35%),
Marketing for Behavioural Change,MKTG315,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG315&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"Marketing for Behavioural Change focuses on the planning and implementation of programmes designed to bring about social change, using concepts from commercial marketing. It is geared toward furthering a cause, raising money, raising awareness and public education, or bringing about social change. Students will be exposed to a diverse range of not-for-profit and for-profit organisations that embody socially responsible and social-change driven missions.",,"Upon completion of this course students should be able to: 1. Appreciate the significance of concepts of social marketing for profit and non-profit organisations in New Zealand and internationally. 2. Understand social marketing campaign strategy. 3. Understand the role of the media in social marketing. 4. Understand the services dimension of social marketing. 5. Have improved independent research, critical analysis, and written communication skills.",Concepts Test (30%) Diary Assignment (20%) Individual Assignment (50%),"Textbooks / Resources Required Texts Donovan, R. & Henley, N; Principles and practice of social marketing an international perspective ; Cambridge University Press, 2010."
Digital Marketing,MKTG316,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG316&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"This course offers an overview of online, digital, internet and social media marketing techniques and practices. The course prepares students for using online marketing platforms and decision making in the modern workplace.",,"The objectives of the course are: 1. Understand, describe and apply the core concepts associated with digital marketing. 2. Demonstrate how to utilise the popular online marketing platforms, such as Google AdWords and Google Analytics, to make business decisions. 3. Critique the impact of digital marketing on business decision making and on business outcomes. 4. Explain the differences between the different digital marketing tools and assess their appropriateness for use in a particular business situation. 5. Explain how digital marketing can play a role in the future of business practice to reach and engage with a diverse population base.",Weekly Quizzes (20%) Proof of Google Certification (10%) Course Project (30%) Final Examination (40%),"Textbooks / Resources Stokes, R. (2018) eMarketing - The Essential Guide to Marketing in a Digital World, 6th edition: Additional recommended readings are specified each week via Learn."
Sustainable Tourism Enterprises and Destinations,MKTG317,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG317&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,This course offers an overview of macro marketing perspectives of sustainable tourism enterprises and destinations. The course prepares students for an in-depth understanding of how tourism marketing impacts and is impacted by the broader tourism system. Organisational and individual behaviours are discussed as well as mechanisms to enable sustainable tourism enterprises and destinations.,,"The objectives of the course are: 1. A critical understanding of macromarketing concepts and their relevance to tourism businesses, destinations, and markets and to the broader society. 2. An understanding of the nature of the tourism marketing systems within Aotearoa New Zealand and beyond. 3. An ability to apply macromarketing concepts to analyse sustainable tourism issues and policies, and generate and reflect on potential solutions. 4. A critical understanding of the relevance of biculturalism to the business of tourism in Aotearoa New Zealand",Project Proposal (20%) Test (30%) Project Presentation (20%) Project Industry Recommendations (30%),"Textbooks / Resources Required Texts Spenceley, A; Handbook for sustainable tourism practitioners: The essential toolbox ; Edward Elgar, 2020. Recommended Reading Fennell, David A. , Cooper, Chris; Sustainable tourism : principles, contexts and practices ; Channel View Publications, 2020. Hall, Colin Michael,1961- , Prayag, Girish, Amore, Alberto; Tourism and resilience :individual, organisational and destination perspectives ; Channel View Publications, 2018."
Event Management and Marketing,MKTG340,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=MKTG340&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course introduces students to the importance of marketing and managing events in the successful development of tourist destinations. It highlights the various forces (macro and micro level, especially from a stakeholder perspective) that impact on events and provides students with an insight into the events planning, marketing, and management process. This course also addresses the financial and human resources aspects of events, and provides students with generic event marketing and management skills that can be applied to festivals, meetings and conventions, expositions and shows, and to sport competitions.",,"The objectives of the course are: 1. Discuss and evaluate various knowledge and concepts of events marketing and management. 2. Identify and discuss the event-related cultural (Māori, Pasifika and Post-Colonial Cultures) and social resources of Aotearoa. 3. Analyse and critique existing and proposed special events that are hosted in New Zealand. 4. Develop communication skills with the stakeholders in the tourism/hospitality and related industry in the area of events management. 5. Develop creative and analytical skills in designing and managing different types of events. 6. Apply knowledge/concepts of events marketing and management to real world situations in individual and team-based work.",Reflective Assignment - weekly (10%) Reflective Assignment - Essay (20%) Applied Group Project/Volunteering (30%) Final Examination (40%),"Textbooks / Resources Required Texts Beech, John G; The business of events management ; Pearson Education, 2014. Recommended Reading Els, G., Reed, I., Mawer, V., & Pielichaty, H; Events project management ; Taylor & Francis, 2016. Fenich, G. G; Planning and management of meetings, expositions, events and conventions ; Pearson Higher Education, 2015. Hall, C. M; Hallmark tourist events: Impacts, management and planning ; Belhaven Press, 1992. Hudson, Simon; Marketing for tourism, hospitality & events : a global & digital approach ; Sage Publications Limited, 2017. Page, Stephen , Connell, Joanne; The Routledge handbook of events ; Second edition; Routledge, 2020. Shank, Matthew D. , Lyberger, Mark R; Sports marketing : a strategic perspective ; Fifth edition; Routledge, 2015."
Software Engineering Foundations,SENG201,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=SENG201&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course provides an introduction to the principles, processes, practices, techniques and tools of software engineering. The underlying theory and practical applications of a variety of topics in software engineering are covered with particular reference to object-oriented software development.",,"1. Design and implement object-oriented software and its GUI in Java [WA1, WA3, WA5] 2. Use UML to design and document software [WA1, WA3] 3. Learn, use and evaluate a range of software development practices and tools [WA1, WA5] 4. Function effectively in a professional software development environment [WA9, WA11] 5. Communicate effectively, in written and oral forms, knowledge and professional opinion [WA3, WA8, WA9, WA10]",Lab Test (20%) Project (30%) Final Exam (50%),"Textbooks / Resources Required Texts - Horstmann, Cay S., 1959-; Big Java : early objects ; 7th Edition; 2020; - McLaughlin, Brett. , Pollice, Gary., West, David; Head first object-oriented analysis and design ; 1st ed; O'Reilly, 2006. Recommended Reading - R.S. Pressman & B Maxim; Software Engineering: A Practitioner’s Approach ; 9th; McGraw-Hill, 2019. - Sommerville, Ian,1951-; Software engineering ; Tenth edition; Pearson, 2016. Additional resource material will be made available as required via Learn."
Mobile Application Design and Development,SENG303,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=SENG303&occurrence=26S2(C)&year=2026,2026,Semester Two,winter,undergraduate,15.0,UC points,7.5,"This course explores topics of mobile app development and computing platforms. It will explore a range of issues, for example user experience (UX) and the importance of asynchronous and event driven software design, and the implications of resource constraints, e.g., battery and memory. The course will likely use one mobile platform as the primary example to demonstrate the topics, and will complement this example with brief consideration of other platforms and app development frameworks.",,"1. Understand the architecture of mobile applications including the limitations imposed by the typical resource constraints of mobile platforms [WA1] 2. Understand the local and remote services available to, and required by, mobile applications [WA3] 3. Recognise some of the challenges relating to developing and deploying mobile applications [WA2, WA4] 4. Be able to write a simple mobile application, taking a well-structured approach and making appropriate use of relevant resources [WA1] 5. Understand some of the emerging mobile technologies [WA10. WA12] 6. Critically compare different mobile technologies, such as different platforms, and the different approaches to implementation [WA2, WA10]",Build a basic Android app (15%) Build an app using storage and services (20%) Build a location-based app with sensor input (20%) Final exam (45%),
Web Computing Architectures,SENG365,University of Canterbury,New Zealand,https://courseinfo.canterbury.ac.nz/GetCourseDetails.aspx?course=SENG365&occurrence=26S1(C)&year=2026,2026,Semester One,summer,undergraduate,15.0,UC points,7.5,"This course introduces the fundamental concepts and techniques for developing applications that are delivered via the world wide web. Students will gain practical experience in developing software using a variety of current web application platforms, and will gain an understanding of the technical details of the underlying frameworks used and their implications when producing complex web-based software systems.",,"1. Explain the architecture of web applications, including the limitations imposed by the underlying stateless HTTP protocol, 3-tier, MVC, MVP and MVVM [WA1, WA10] 2. Implement simple web application in appropriate well-structured technologies (e.g. PHP, JavaScript), using a data source for persistent storage (e.g. MySQL or MongoDB), with data queries and updates [WA1, WA3] 3. Communicate the principles behind AJAX and be able to make simple use of it in a web application [WA1, WA3, WA10] 4. Communicate how web services work (e.g. SOAP-based and RESTful) and be able to design and implement a simple web service [WA1, WA3, WA10] 5. Communicate the extended capabilities provided by HTML5 [WA1, WA10] 6. Communicate web application security including an awareness of such attacks as SQL injection, cross-site scripting and identity theft [WA1, WA10]",Assignments (20%) Assignments (30%) Exam (50%),Textbooks / Resources Information relating to this course can be found on the SENG365 Learn site Class notices and course notes will also be distributed via Learn. References to recommended reading (mostly web-based) will be given in lectures and labs.
